scenario_id,kl_divergence,residuals,model_probs
S3_012,1.802665,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 3.12, ""Drev_sack_ceo"": -0.12}","{""Drev_no_action"": 0.0, ""Drev_commission_review"": 0.0, ""Drev_sack_ceo"": 5.5592}"
S3_013,1.720504,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 2.98, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": 0.0, ""Drev_commission_review"": 0.0, ""Drev_sack_ceo"": 5.5693}"
S3_014,1.69741,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": 2.94, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": 0.0, ""Drev_commission_review"": 0.0, ""Drev_sack_ceo"": 5.5693}"
S3_015,0.169706,"{""Drev_no_action"": 0.24, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.4913}"
S3_016,0.127279,"{""Drev_no_action"": 0.18, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.4913}"
S3_017,0.028284,"{""Drev_no_action"": 0.04, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.5014}"
S3_019,0.042426,"{""Drev_no_action"": 0.06, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.5014}"
S3_020,0.113137,"{""Drev_no_action"": 0.16, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.4913}"
S3_021,0.19799,"{""Drev_no_action"": 0.28, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.4913}"
S3_022,0.070711,"{""Drev_no_action"": 0.1, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.5014}"
S3_023,0.098995,"{""Drev_no_action"": 0.14, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.5014}"
S3_024,0.028284,"{""Drev_no_action"": 0.04, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": -4.0679, ""Drev_sack_ceo"": 1.5014}"
S3_028,0.473998,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.8188, ""Drev_sack_ceo"": -0.06}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S3_030,0.435069,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.64, ""Drev_sack_ceo"": -0.3978}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S3_031,0.460541,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.74, ""Drev_sack_ceo"": -0.2978}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.3033}"
S3_032,0.50237,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.8588, ""Drev_sack_ceo"": -0.14}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S3_033,0.497034,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.8588, ""Drev_sack_ceo"": -0.06}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S3_034,0.413889,"{""Drev_no_action"": 0.0, ""Drev_commission_review"": -0.6988, ""Drev_sack_ceo"": -0.16}","{""Drev_no_action"": -12.2499, ""Drev_commission_review"": -0.2968, ""Drev_sack_ceo"": -0.2932}"
S3_037,0.66468,"{""Drev_no_action"": 0.94, ""Drev_sack_ceo"": 0.0}","{""Drev_no_action"": 0.0, ""Drev_sack_ceo"": 5.5592}"
