checkpoint,focal,mode,action,EU,is_optimal,Pr_strike,Pr_overwhelming,Pr_CEO_removed,Pr_review_adverse,mean_vote_percent,sd_vote_percent
C0,ASA,ASA Mode,D0_minimal,0.7478807721905699,False,0.8,0.0,0.2,0.2,0.3272703217514269,0.09971872530553419
C0,ASA,ASA Mode,D1_review,1.4220748386419466,False,0.8,0.0,0.1,0.3,0.3096782150576335,0.09502618616636234
C0,ASA,ASA Mode,D2_accountability,0.6190093070767553,False,0.8,0.0,0.1,0.1,0.2982369109727411,0.09215248225314569
C0,ASA,ASA Mode,D3_ceo_transition,4.12327353172108,True,0.7,0.0,1.0,0.2,0.27074423429172334,0.08588961460825685
