diagnostic,decision,p_value,effect_size,details
loss_aversion,insufficient_data,,,"{""test"": ""loss_aversion"", ""decision"": ""insufficient_data"", ""n_pairs"": 0}"
nonlinearity,,,,"{""test"": ""nonlinearity"", ""vote_penalty_aic"": {""quadratic"": -42.62, ""linear"": -42.56, ""cubic"": -42.78, ""log_linear"": -42.59}, ""best_vote_form"": ""cubic"", ""diminishing_marginal"": {""slope"": 0.02, ""p_value"": 0.0069, ""r_squared"": 0.4685, ""decision"": ""not_detected""}, ""n_vote_points"": 21}"
optimism_bias,null,0.8265,0.03,"{""test"": ""optimism_bias"", ""mean_score_explicit"": 4.06, ""mean_score_implicit"": 4.03, ""effect_size"": 0.03, ""t_stat"": 0.249, ""p_value"": 0.8265, ""decision"": ""null""}"
self_assessment_bias,null,,,"{""test"": ""self_assessment_bias"", ""mean_score_sack_board_initiated"": 5.0, ""mean_score_sack_externally_mandated"": 5.0, ""t_stat"": NaN, ""p_value"": NaN, ""decision"": ""null""}"
ikea_effect,null,1.0,,"{""test"": ""ikea_effect"", ""mean_score_sack_appointed"": 4.94, ""mean_score_sack_inherited"": 4.788, ""t_stat"": 0.0, ""p_value"": 1.0, ""decision"": ""null""}"
action_order_effects,detected,,,"{""test"": ""action_order_effects"", ""per_action"": {""D0_minimal"": {""slope"": 0.0, ""p_value"": NaN, ""n"": 2150, ""effect"": ""none""}, ""D1_review"": {""slope"": -0.2643, ""p_value"": 0.0, ""n"": 2150, ""effect"": ""primacy""}, ""D3_ceo_transition"": {""slope"": -0.1228, ""p_value"": 0.0, ""n"": 1999, ""effect"": ""primacy""}, ""Drev_commission_review"": {""slope"": -0.2742, ""p_value"": 0.0, ""n"": 5347, ""effect"": ""primacy""}, ""Drev_no_action"": {""slope"": -0.0866, ""p_value"": 0.0, ""n"": 7845, ""effect"": ""primacy""}, ""Drev_sack_ceo"": {""slope"": -0.1125, ""p_value"": 0.0, ""n"": 6850, ""effect"": ""primacy""}}, ""overall"": {""slope"": -0.074, ""p_value"": 0.0, ""r_squared"": 0.0011}, ""any_order_effect_detected"": true, ""decision"": ""detected""}"
