checkpoint,scenario,Pr_scenario,focal,mode,action,Expected_Utility,is_optimal,Pr_strike,Pr_overwhelming,Pr_CEO_removed,Pr_review_adverse,mean_vote_percent,sd_vote_percent,mean_review_car,sd_review_car,mean_review_direct_cost,sd_review_direct_cost
C0,ceo_stayed,0.0,Board,Board Mode,D0_minimal,-7.665704942558672,False,0.9,0.2,0.9,0.4,0.40038631900769917,0.11521599548497663,0.002586647271212018,0.051263463090433295,0.0006139679184920293,0.0005948731818548761
C0,ceo_stayed,0.0,Board,Board Mode,D1_review,-3.380953693156253,True,0.85,0.1,0.85,0.65,0.36257378904628046,0.11080248433136258,-0.0460958377159672,0.07516471592927768,0.0010370321118058307,0.00038816197307999444
C0,ceo_stayed,0.0,Board,Board Mode,D3_ceo_transition,-4.124805643146341,False,0.95,0.4,1.0,0.6,0.4140063001860878,0.12479818401679582,-0.03943626907130688,0.07302290302735452,0.0009990442799820485,0.00044626711458892686
