date,close,index_close,r_qan,r_mkt,abret
2020-10-02,3.981,5791.5,-0.005011285856918013,-0.013957223932109741,0.01112852901590294
2020-10-05,4.175,5941.6,0.04758131428463863,0.025587131982685918,0.018108563598258853
2020-10-06,4.233,5962.1,0.013796603235967764,0.003444310637267023,0.009864561632314429
2020-10-07,4.204,6036.4,-0.006874508524081779,0.012385039752039972,-0.021119263117000228
2020-10-08,4.136,6102.0,-0.016307315808576694,0.010808778532220842,-0.028733926786200473
2020-10-09,4.185,6102.2,0.011777566735310607,3.2775601845003166e-05,0.011780571280745656
2020-10-12,4.165,6132.0,-0.004790428322632545,0.004871599113243974,-0.010368780447126406
2020-10-13,4.165,6195.7,0.0,0.010334542038441086,-0.011879601356081269
2020-10-14,4.078,6179.2,-0.02110960346654256,-0.0026666897959497504,-0.017992891804546846
2020-10-15,4.117,6210.3,0.009518070635504028,0.005020390705222866,0.003768094366760146
2020-10-16,4.078,6176.8,-0.009518070635504028,-0.005408865944811936,-0.003238387002632067
2020-10-19,4.185,6229.4,0.025900031789175104,0.008479681962764829,0.016159924802080942
2020-10-20,4.224,6184.6,0.009275842462521666,-0.007217688817133805,0.017641918702888178
2020-10-21,4.233,6191.8,0.0021284151348262004,0.0011635048660760816,0.0008271763438525315
2020-10-22,4.291,6173.8,0.013608844470601289,-0.002911304378848456,0.01700770761644578
2020-10-23,4.408,6167.0,0.02690126584122554,-0.0011020356359718875,0.028213222088738353
2020-10-26,4.437,6155.6,0.0065574005461590534,-0.0018502594017970608,0.00873239792260535
2020-10-27,4.359,6051.0,-0.017735799140516928,-0.017138688967374804,0.002073686893670379
2020-10-28,4.291,6057.7,-0.015722867246867667,0.0011066424444852174,-0.01695851789327131
2020-10-29,4.214,5960.3,-0.018107490627390366,-0.016209374703734625,0.0006300748559420893
2020-10-30,4.059,5927.6,-0.03747567752523673,-0.005501406047049073,-0.031089253211362366
2020-11-02,4.175,5951.3,0.02817772044605804,0.003990273753716522,0.023615935915358044
2020-11-03,4.33,6066.4,0.036453183711579795,0.01915566531698687,0.014398829105871844
2020-11-04,4.427,6062.1,0.02215461173560529,-0.000709073699166396,0.023013304762864093
2020-11-05,4.417,6139.6,-0.00226142113561445,0.012703318751693615,-0.01687329567275702
2020-11-06,4.408,6190.2,-0.002039660763776041,0.008207802895132232,-0.011466167958695404
2020-11-09,4.534,6298.8,0.028183480234723834,0.01739174271186883,0.008163727877707447
2020-11-10,4.911,6340.5,0.07987303497177023,0.006598490628698883,0.07230279422903634
2020-11-11,4.979,6449.7,0.013751480602938182,0.017075988405258258,-0.005904063925231358
2020-11-12,4.911,6418.2,-0.013751480602938182,-0.0048959135400714615,-0.008063463584649277
2020-11-13,4.95,6405.2,0.007909989523491534,-0.0020275440918187115,0.010289476500518974
2020-11-16,5.028,6484.3,0.01563471414740203,0.012273710072891575,0.0015183731339026632
2020-11-17,5.105,6498.2,0.01519816088862802,0.0021413449353158143,0.012769029298977544
2020-11-18,5.047,6531.1,-0.011426444258503698,0.005050166919781773,-0.017210765998484978
2020-11-19,5.086,6547.2,0.007697659641802579,0.002462094940941739,0.004898557918076594
2020-11-20,5.105,6539.2,0.0037287846167011196,-0.0012226435072388853,0.005179856404418324
2020-11-23,5.192,6561.6,0.016898527785159878,0.0034196418277812057,0.012994940499800756
2020-11-24,5.396,6644.1,0.038538958943720614,0.012494767156114861,0.02416763892076227
2020-11-25,5.483,6683.3,0.015994458076401763,0.005882634729086789,0.009249923642359579
2020-11-26,5.357,6636.4,-0.023248279523087945,-0.007042229753796647,-0.015084587108283445
